,Klasifikasi Desa,Jenis Kelamin,Tahun,APS Formal,Kelompok Umur
15,1,1,2009,89.08,usia SMP
62,1,2,2009,90.43,usia SMP
297,3,1,2009,84.33,usia SMP
78,1,2,2009,61.15,usia SMA
125,1,3,2009,62.84,usia SMA
266,2,3,2009,47.52,usia SMA
360,3,2,2009,54.25,usia SMA
109,1,3,2009,89.74,usia SMP
156,2,1,2009,80.42,usia SMP
31,1,1,2009,64.49,usia SMA
391,3,3,2009,85.43,usia SMP
203,2,2,2009,83.26,usia SMP
172,2,1,2009,47.64,usia SMA
313,3,1,2009,55.8,usia SMA
344,3,2,2009,86.61,usia SMP
250,2,3,2009,81.77,usia SMP
219,2,2,2009,47.39,usia SMA
407,3,3,2009,55.05,usia SMA
267,2,3,2010,48.5,usia SMA
361,3,2,2010,54.95,usia SMA
157,2,1,2010,81.35,usia SMP
110,1,3,2010,90.08,usia SMP
141,2,1,2010,97.01,usia SD
126,1,3,2010,62.69,usia SMA
94,1,3,2010,98.7,usia SD
63,1,2,2010,90.77,usia SMP
282,3,1,2010,97.69,usia SD
376,3,3,2010,97.97,usia SD
298,3,1,2010,85.03,usia SMP
79,1,2,2010,61.4,usia SMA
0,1,1,2010,98.48,usia SD
47,1,2,2010,98.93,usia SD
173,2,1,2010,49.73,usia SMA
314,3,1,2010,56.68,usia SMA
345,3,2,2010,87.28,usia SMP
329,3,2,2010,98.26,usia SD
235,2,3,2010,97.32,usia SD
188,2,2,2010,97.66,usia SD
204,2,2,2010,84.05,usia SMP
32,1,1,2010,63.97,usia SMA
392,3,3,2010,86.11,usia SMP
16,1,1,2010,89.4,usia SMP
408,3,3,2010,55.83,usia SMA
251,2,3,2010,82.62,usia SMP
220,2,2,2010,47.71,usia SMA
221,2,2,2011,51.57,usia SMA
393,3,3,2011,87.58,usia SMP
189,2,2,2011,96.98,usia SD
95,1,3,2011,98.4,usia SD
142,2,1,2011,96.38,usia SD
362,3,2,2011,57.35,usia SMA
127,1,3,2011,63.63,usia SMA
158,2,1,2011,83.07,usia SMP
236,2,3,2011,96.67,usia SD
205,2,2,2011,86.22,usia SMP
111,1,3,2011,90.84,usia SMP
283,3,1,2011,97.27,usia SD
377,3,3,2011,97.49,usia SD
268,2,3,2011,50.94,usia SMA
80,1,2,2011,62.32,usia SMA
64,1,2,2011,91.85,usia SMP
299,3,1,2011,86.32,usia SMP
48,1,2,2011,98.54,usia SD
1,1,1,2011,98.27,usia SD
252,2,3,2011,84.58,usia SMP
174,2,1,2011,50.39,usia SMA
315,3,1,2011,57.78,usia SMA
330,3,2,2011,97.72,usia SD
346,3,2,2011,88.94,usia SMP
409,3,3,2011,57.57,usia SMA
17,1,1,2011,89.89,usia SMP
33,1,1,2011,64.91,usia SMA
363,3,2,2012,61.03,usia SMA
